2024-06-06 01:02:49.111206,CK,WITHOUT HELMET
2024-06-06 01:02:51.155933,44,WITHOUT HELMET
2024-06-06 01:02:51.490539,204,WITHOUT HELMET
2024-06-06 01:02:51.636721,CM,WITHOUT HELMET
2024-06-06 01:02:51.969416,#M,WITHOUT HELMET
2024-06-06 01:02:52.102422,21(M 90A,WITHOUT HELMET
2024-06-06 01:02:52.220803,LA,WITHOUT HELMET
